name,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,label
fuzz_1932.v,10,7,24,1,2,30,3,2,7,5,4,2,1,4,2,5,2,0,1,0,1,0,1,0,2,4,2,0,1,1,2,0,29,15,22,0,22,7,0,0,0,0,13,25,44,21,1,0,26,5,1,10,10,0
fuzz_2524.v,0,0,1,1,0,9,0,0,3,1,0,0,1,2,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,7,4,17,15,0,0,21,5,1,15,0,0
fuzz_6806,410,98,499,9,22,441,37,40,99,39,33,39,39,75,40,19,42,24,31,23,24,34,44,16,24,19,19,27,31,44,19,22,460,514,625,150,475,98,21,449,9,9,292,430,885,580,8,59,630,49,9,162,410,0
fuzz_2487.v,13,2,17,3,5,28,5,2,5,6,4,0,0,3,3,5,1,0,3,1,5,0,2,2,1,4,1,1,2,2,2,2,31,42,16,0,16,2,0,0,2,2,26,32,59,60,1,12,77,15,3,46,13,0
fuzz_201.v,2,0,3,1,2,9,1,0,5,0,1,1,0,1,0,2,1,2,1,0,0,0,1,0,1,1,0,0,0,3,0,0,16,5,2,0,2,0,0,0,0,0,6,3,12,11,1,0,16,5,1,8,2,0
fuzz_6664,202,53,276,6,12,279,19,25,72,24,22,23,18,48,28,14,29,12,11,12,12,13,13,13,9,18,15,13,15,29,14,16,279,258,335,68,267,53,6,246,5,5,184,272,528,301,4,33,337,34,6,95,202,0
fuzz_7530_bug,705,55,485,5,30,627,56,57,136,58,47,40,52,119,62,38,183,36,29,36,31,31,191,41,43,37,27,34,25,58,30,30,632,755,1022,580,442,55,156,133,4,4,386,616,1294,793,6,26,820,28,5,82,705,1
fuzz_475.v,9,2,12,1,3,13,1,1,3,1,2,0,1,1,3,0,1,0,0,1,0,1,1,4,0,3,2,3,0,0,2,0,12,20,12,0,12,2,0,0,0,0,11,16,29,25,0,0,31,5,1,16,9,0
fuzz_3639,201,6,99,6,8,245,16,18,53,22,29,24,23,44,16,9,61,13,17,11,10,14,62,10,9,6,13,7,11,23,16,10,234,255,256,166,90,6,48,0,6,6,120,216,357,298,5,39,331,32,6,92,201,0
fuzz_4001,209,6,113,5,11,200,14,19,40,19,12,19,20,37,20,8,64,10,16,18,16,16,79,10,8,13,11,13,6,11,10,8,214,266,278,173,105,6,60,0,4,4,125,184,355,301,3,27,331,28,5,89,209,0
fuzz_4188,401,15,196,7,14,422,39,39,100,34,35,26,41,72,36,20,114,16,17,18,32,20,119,10,17,18,17,18,14,34,27,18,413,480,525,346,179,15,100,0,8,8,233,341,719,537,9,55,575,40,7,127,401,0
fuzz_328.v,14,5,21,3,3,20,0,2,0,0,3,4,3,7,1,3,0,1,2,3,3,1,1,0,0,0,2,0,1,1,0,3,12,32,21,0,21,5,0,0,5,5,10,17,45,53,1,30,70,15,3,38,14,0
fuzz_4786,94,4,47,2,3,91,7,12,20,9,10,4,7,17,5,6,24,4,1,3,4,3,26,4,1,5,6,5,9,6,8,4,83,118,118,72,46,4,20,0,1,1,55,69,164,133,4,6,141,10,2,35,94,0
fuzz_5445,559,142,728,10,21,777,58,81,161,56,76,67,72,136,70,37,61,34,32,30,38,30,62,38,33,38,34,35,42,50,36,28,690,690,886,191,695,142,28,625,9,9,417,658,1248,763,9,59,819,55,10,195,559,0
fuzz_6925,323,82,416,6,15,380,36,33,78,33,33,33,29,71,34,15,38,22,14,18,19,19,44,17,16,26,19,23,17,35,16,15,363,409,522,122,400,82,17,369,6,6,224,367,724,454,6,38,487,33,6,125,323,0
fuzz_3533,433,6,214,9,21,573,45,30,152,57,54,42,45,99,49,38,135,16,21,21,17,25,144,31,19,31,31,28,17,62,23,33,538,582,553,358,195,6,114,0,8,8,269,392,838,652,12,52,699,50,9,207,433,0
fuzz_5765,13,2,12,1,2,14,2,2,2,1,1,0,2,4,0,2,2,0,0,0,3,1,1,0,0,0,1,1,0,1,0,0,14,17,16,4,12,2,1,12,0,0,9,12,29,23,0,0,30,6,1,10,13,0
fuzz_880.v,5,2,9,1,1,9,0,1,1,1,2,3,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,1,7,17,9,0,9,2,0,0,0,0,10,9,27,22,0,0,28,5,1,17,5,0
fuzz_3013.v,13,4,24,4,4,38,5,2,15,2,1,1,4,5,3,1,1,0,2,6,1,1,1,1,2,1,3,3,2,7,6,0,31,45,22,0,22,4,0,0,6,6,30,30,61,72,1,36,95,20,4,58,13,0
fuzz_6852,398,106,569,10,15,596,43,59,133,44,47,46,41,129,54,32,52,31,23,25,19,25,45,24,24,22,24,22,30,53,32,36,510,521,687,142,545,106,19,509,15,15,370,477,930,599,9,95,654,54,10,192,398,0
fuzz_988.v,13,2,17,4,5,43,4,6,9,2,1,6,4,7,4,0,4,1,4,2,4,2,2,1,2,1,1,2,2,1,2,2,30,40,15,0,15,2,0,0,4,4,22,25,55,68,4,24,88,20,4,51,13,0
fuzz_6847,178,44,211,8,10,267,28,22,56,23,24,20,27,48,19,13,25,19,13,14,10,19,22,11,13,8,11,10,7,19,11,9,256,266,259,61,198,44,10,224,10,10,171,222,421,329,8,65,374,45,8,143,178,0
fuzz_1307.v,6,1,8,2,2,19,3,3,5,1,0,1,1,2,3,0,1,0,1,1,0,1,0,1,1,0,0,1,3,2,0,1,9,19,7,0,7,1,0,0,1,1,9,18,24,31,1,6,42,10,2,24,6,0
fuzz_2153.v,14,6,23,3,4,33,2,0,4,9,3,3,1,8,3,0,2,5,4,4,1,1,2,0,1,4,0,0,0,4,3,0,31,43,22,0,22,6,0,0,2,2,25,31,65,61,1,12,78,15,3,46,14,0
fuzz_2142.v,0,0,0,1,0,6,2,2,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,2,1,1,0,0,0,21,11,0,0,0,0,0,0,0,0,9,3,24,16,0,0,22,5,1,16,0,0
fuzz_3306,254,8,116,6,13,277,25,31,60,27,26,30,14,44,20,13,71,12,14,8,11,16,67,12,8,10,6,8,11,20,16,12,272,334,328,220,108,8,62,0,5,5,162,247,493,380,6,34,415,35,6,120,254,0
fuzz_2772.v,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,4,2,4,11,0,0,17,5,1,11,0,0
fuzz_5996,196,54,287,5,8,299,20,31,67,22,18,27,28,57,29,15,29,20,8,15,14,13,34,18,15,8,18,18,12,32,13,15,265,262,342,70,272,54,11,251,4,4,152,249,523,299,5,26,327,28,5,98,196,0
fuzz_7397_bug,601,77,380,6,33,572,54,47,115,56,47,38,60,103,52,25,115,36,28,30,29,29,111,36,30,29,23,35,34,57,20,20,497,671,828,478,350,77,84,0,5,5,291,473,1288,718,9,32,748,33,6,108,601,1
fuzz_7541_bug,918,65,559,6,45,827,72,84,178,92,58,62,81,123,77,44,228,47,51,38,42,47,237,41,49,27,43,42,38,80,39,40,889,972,1272,762,510,65,191,187,12,12,494,867,1597,1021,4,81,1056,33,6,99,918,1
fuzz_1005.v,20,7,33,4,5,48,1,3,10,3,8,4,6,7,6,1,2,3,1,1,4,1,0,1,1,1,1,4,2,6,2,1,43,47,32,0,32,7,0,0,3,3,40,31,67,71,1,18,94,20,4,50,20,0
fuzz_1044.v,16,2,21,3,6,27,0,2,3,3,0,6,6,3,4,0,3,3,3,0,2,3,0,1,3,3,1,1,1,1,0,1,38,43,18,0,18,2,0,0,2,2,18,26,54,61,1,12,78,15,3,44,16,0
fuzz_7168,256,66,363,7,13,317,24,28,75,31,30,25,25,54,25,18,31,12,19,12,17,20,19,22,14,17,17,15,14,38,15,13,312,331,432,83,349,66,9,301,8,8,192,309,609,384,6,52,424,39,7,122,256,0
fuzz_4758,248,7,133,6,9,236,11,23,47,19,33,25,19,41,18,9,69,8,13,7,9,11,78,2,12,8,7,13,11,19,15,6,224,315,319,198,121,7,65,0,6,6,139,195,383,361,7,40,393,33,6,106,248,0
fuzz_931.v,8,3,14,4,3,37,4,1,6,2,4,6,5,5,4,1,2,0,2,0,2,4,2,0,1,3,1,3,3,1,1,1,21,37,13,0,13,3,0,0,3,3,19,16,40,62,2,18,84,20,4,52,8,0
fuzz_1186.v,3,0,3,1,2,7,1,0,3,0,1,0,0,1,1,0,2,0,1,0,0,1,2,2,0,2,0,0,0,1,1,1,11,14,3,0,3,0,0,0,0,0,8,7,27,20,1,0,25,5,1,16,3,0
fuzz_4519,267,13,152,4,9,288,29,20,70,31,27,24,19,40,28,9,86,21,19,17,12,11,80,12,15,8,8,18,12,25,16,12,313,313,354,217,137,13,66,0,3,3,161,244,483,343,4,21,366,23,4,72,267,0
fuzz_2641.v,8,2,13,4,3,34,3,2,6,2,3,1,6,7,4,2,0,1,2,2,1,2,1,2,1,1,1,0,1,2,1,0,27,42,12,0,12,2,0,0,3,3,32,25,37,67,2,18,89,20,4,57,8,0
fuzz_3934,236,3,130,5,11,224,19,23,44,23,20,18,20,34,23,8,77,12,4,12,10,13,72,10,13,16,7,14,12,20,14,15,216,301,305,188,117,3,65,0,4,4,144,189,355,341,7,27,368,29,5,98,236,0
fuzz_5497,508,127,655,10,24,689,64,54,139,62,56,64,62,118,70,33,64,33,37,43,33,36,56,34,43,26,37,37,23,60,34,24,617,639,803,191,612,127,29,589,12,12,377,594,1159,718,10,81,775,57,10,200,508,0
fuzz_7026,171,36,183,4,9,185,13,23,37,20,21,18,9,25,19,10,17,10,10,5,7,9,18,5,10,11,7,12,7,19,16,9,159,221,243,70,173,36,10,189,3,3,115,178,350,252,5,20,274,23,4,76,171,0
fuzz_703.v,10,3,16,3,4,18,4,1,0,2,1,5,0,2,3,2,0,0,1,3,2,2,1,2,2,1,1,0,1,2,2,0,26,25,14,0,14,3,0,0,2,2,15,18,43,44,2,12,60,15,3,32,10,0
fuzz_5214,322,80,440,7,17,427,34,43,90,32,39,40,28,74,47,18,24,13,25,21,24,21,31,21,21,23,14,26,14,39,27,25,447,384,527,108,419,80,14,357,6,6,255,382,777,435,8,38,471,37,7,105,322,0
fuzz_1500.v,0,0,0,1,0,4,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,8,8,0,0,0,0,0,0,0,0,4,3,11,13,0,0,19,5,1,13,0,0
fuzz_687.v,0,0,2,2,0,16,2,0,4,1,1,2,3,3,0,0,1,0,1,1,1,2,0,0,2,0,0,0,0,2,1,1,11,17,0,0,0,0,0,0,1,1,14,8,17,30,2,6,40,10,2,28,0,0
fuzz_4715,0,0,0,1,0,4,0,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,5,6,0,0,0,0,0,0,0,0,5,3,6,14,2,0,19,6,1,12,0,0
fuzz_2556.v,17,4,24,4,5,38,6,5,6,3,2,5,3,5,3,4,3,1,2,2,1,1,1,2,1,1,3,3,5,7,3,2,46,55,23,0,23,4,0,0,3,3,28,42,65,79,1,18,102,20,4,61,17,0
fuzz_3562,213,3,114,6,9,237,19,15,44,29,26,24,25,39,16,15,64,16,9,8,10,9,71,11,8,8,12,6,15,18,6,12,229,271,275,169,106,3,57,0,6,6,119,169,392,320,9,40,351,34,6,98,213,0
fuzz_3119.v,36,11,59,4,8,48,4,3,7,1,6,8,3,11,5,0,2,1,6,2,2,0,2,1,3,4,1,1,2,5,1,0,36,65,56,0,56,11,0,0,5,5,30,45,78,90,0,30,114,20,4,54,36,0
fuzz_4283,404,14,212,7,14,381,35,36,83,25,32,30,27,66,47,23,134,14,27,12,14,23,133,13,13,24,23,14,19,52,18,20,402,483,543,344,199,14,115,0,9,9,241,343,640,539,8,59,577,39,7,127,404,0
fuzz_4355,38,2,20,1,4,50,2,5,10,7,5,9,3,6,3,2,7,0,2,3,5,0,10,0,1,2,1,1,2,5,2,2,50,45,48,29,19,2,7,0,0,0,25,36,71,52,2,0,56,5,1,12,38,0
fuzz_7597_bug,517,56,359,5,26,561,54,55,124,47,41,56,44,94,46,29,134,23,24,34,26,31,135,23,21,21,26,28,31,50,28,18,488,559,791,453,338,56,107,97,4,4,336,519,1077,592,1,26,624,28,5,74,517,1
fuzz_1397.v,0,0,2,2,0,6,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,1,2,0,0,1,17,14,0,0,0,0,0,0,1,1,7,6,18,26,1,6,37,10,2,25,0,0
